phase,dataset_id,lifecycle_status,training_reference_allowed,notes
P1a,heat3d_v6_p1a_power_calibration16_v0,archived,false,Tracked provenance retained; not a V6 training source.
P1b,heat3d_v6_p1b_logic_package_power_calibration16_v0,archived,false,Tracked provenance retained; not a V6 training source.
P1c,heat3d_v6_p1c_package_path_calibration8_v0,archived,false,Tracked provenance retained; not a V6 training source.
P1d,heat3d_v6_p1d_asymmetric_dual_robin1024_v0,archived,false,Tracked provenance retained; not a V6 training source.
P1e,heat3d_v6_p1e_deconfounded1024_v0,archived,false,Tracked provenance retained; not a V6 training source.
P1f,heat3d_v6_p1f_geometry_deconfounding_pilot_v0,archived,false,Tracked provenance retained; not a V6 training source.
P1g-v0,heat3d_v6_p1g_geometry_deconfounded1024_v0,archived_geometry_adaptive_baseline,true,Preserved immutable baseline for historical V6_01/V6_02 bindings and artifact replay; not the default dataset.
P1g-v1,heat3d_v6_p1g_geometry_deconfounded1024_v1,retained_noncanonical,false,Newer generated variant retained but excluded by this handoff decision.
P1h-v0,heat3d_v6_p1h_shared_support1024_v0,canonical,true,Sole default V6-layer canonical dataset; shared ordered 1024-node support and reusable full-field archive.
P1i-v1,heat3d_v6_p1i_continuous_physics1024_v1,canonical_role_formal_v6_randomblock,true,Canonical formal V6 random-block role; dataset ID manifest SHA split and historical audits remain frozen; this role is not an OOD or independent benchmark designation.
legacy-randomblock-v2,heat3d_v6_randomblock_formal1024_v2,deprecated_engineering_history,false,Superseded by heat3d_v6_p1i_continuous_physics1024_v1; retain immutable engineering-history artifacts only and do not use as a current formal OOD or independent benchmark.
