paper_id,method_family,title,year,doi_or_url,primary_source_url,geometry_original,geometry_si_m,grid_original,grid_si_or_node_count,k_original,k_si_W_mK,k_class,q_original,q_si_W_m3,source_volume_original,source_volume_si_m3,total_power_original,total_power_si_W,boundary_conditions_original,h_original,h_si_W_m2K,ambient_temperature_original,ambient_temperature_si_K,temperature_range_original,temperature_range_si_K,evidence_location,not_reported_fields,unit_conversion_notes
L01,AI-DeepONet,DeepOHeat: Operator Learning-based Ultra-fast Thermal Simulation in 3D-IC Design,2023,10.48550/arXiv.2302.12949,https://arxiv.org/abs/2302.12949,"1 x 1 x 0.5 mm; second case 1 x 1 x 0.55 mm","0.001 x 0.001 x 0.0005; 0.001 x 0.001 x 0.00055","21 x 21 x 11; 7000 random points","4851 nodes; 7000 nodes","0.1 W/(m K)",0.1,bulk/effective homogeneous,"top map unit 0.00625 mW; second case 0.000625 W in 0.05 mm layer","surface-map input; volumetric q NR","second source layer 1 x 1 x 0.05 mm",5e-11,"0.000625 W in second case",0.000625,"side adiabatic; bottom convection; second case top and bottom convection","500 W/(m2 K); sampled 333.33-1000 W/(m2 K)","500;333.33-1000",298.15 K,298.15,NR,NR,"Sec. IV-A/IV-B and figures 3/6",temperature range,"mm x 1e-3=m; mW x 1e-3=W"
L02,AI-DeepONet,DeepOHeat-v1: Efficient Operator Learning for Fast and Trustworthy Thermal Simulation and Optimization in 3D-IC Design,2025,10.48550/arXiv.2504.03955,https://arxiv.org/abs/2504.03955,"1 x 1 x 0.5 mm; layered 1 x 1 x 0.55 mm","0.001 x 0.001 x 0.0005; 0.001 x 0.001 x 0.00055","21 x 21 x 11; 101 x 101 x 56","4851; 571256 nodes","single 0.1; layers 1/1/20 W/(m K)","0.1;1;20",bulk/effective,"400 power pixels per source; component powers 0.5/1/2 mW","q NR; component total powers retained","0.05 mm source layer; 400 pixels/component; overlap allowed","realized volume NR","10 components: 2x0.5 + 4x1 + 4x2 mW",0.013,"side adiabatic; top/bottom convection","500 W/(m2 K)",500,298.15 K,298.15,NR,NR,"Sec. IV and dataset tables",realized source volume and temperature range,"mW x 1e-3=W; mm x 1e-3=m"
L03,AI-SAU-FNO,Self-Attention to Operator Learning-based 3D-IC Thermal Simulation,2025,10.48550/arXiv.2510.15968,https://arxiv.org/abs/2510.15968,"dies 10-16 mm lateral; die 0.1-0.15 mm; TIM 0.02-0.052 mm; spreader 30 x 30 x 1 mm; sink 60 x 60 x 6.9 mm","die lateral 0.01-0.016; die thickness 1e-4-1.5e-4; TIM 2e-5-5.2e-5","40 x 40 and 64 x 64 lateral",1600 and 4096 lateral cells,"core/cache 100; TIM 4; spreader/sink 400; TSV 100 W/(m K)","4;100;400",bulk and effective,workload power maps,q NR,NR,NR,NR,NR,"package stack; FEM low/high fidelity; cooling boundary in paper model",NR,NR,NR,NR,NR,NR,"Table I and experimental setup",q source volume total power h ambient and temperature range,"mm x 1e-3=m"
L04,AI-foundation-model,Therm-FM: Foundation Model is ALL YOU NEED for 3D-ICs Thermal Simulation,2026,10.48550/arXiv.2605.22663,https://arxiv.org/abs/2605.22663,"public HotSpot and industrial 3D-IC package benchmarks",NR,benchmark-dependent,NR,heterogeneous materials,NR,mixed bulk/effective,power maps,NR,NR,NR,NR,NR,package-level BC,NR,NR,NR,NR,steady and transient fields,NR,"Abstract and benchmark section",all case-level physical ranges,"No conversion possible where benchmark-level values are not enumerated"
L05,multi-fidelity-surrogate,MFIT: Multi-Fidelity Thermal Modeling for 2.5D and 3D Multi-Chiplet Architectures,2024,10.48550/arXiv.2410.09188,https://arxiv.org/abs/2410.09188,"16/36/64 2.5D chiplets; 16 x 3 3D chiplets",NR,multi-fidelity grids,NR,material stack values case-dependent,NR,mixed bulk/effective,chiplet power traces,NR,NR,NR,NR,NR,package cooling model,NR,NR,NR,NR,NR,NR,"Abstract and system-model section",exact dimensions grid k q source volume power h ambient temperature range,"Counts are dimensionless"
L06,compact-RC,HotSpot: a dynamic compact thermal model at the processor-architecture level,2003,10.1016/S0026-2692(03)00206-4,https://doi.org/10.1016/S0026-2692(03)00206-4,architecture floorplans and package stack,NR,functional-block RC nodes,NR,package materials parameterized,NR,effective compact,power per functional block,NR,NR,NR,benchmark-dependent,NR,stacked die/package RC to ambient,package convection resistance,NR,ambient parameter,NR,benchmark-dependent,NR,"Method and validation sections",case-level geometry k q volume h and temperature range,"No silent conversion of compact resistance to h"
L07,compact-RC,HotSpot: A Compact Thermal Modeling Methodology for Early-Stage VLSI Design,2006,10.1109/TVLSI.2006.876103,https://www.cs.virginia.edu/~skadron/Papers/hotspot_tvlsi06.pdf,stacked silicon/package layers,NR,grid and block compact models,NR,layer parameters,NR,effective compact,block/interconnect power,NR,NR,NR,benchmark-dependent,NR,package-to-ambient boundary,convection resistance,NR,ambient parameter,NR,benchmark-dependent,NR,"Sections II-V and model tables",single transferable physical envelope,"Compact RC parameters are not bulk k or contact resistance"
L08,compact-RC,Temperature-Aware Microarchitecture,2003,10.1145/859618.859657,https://doi.org/10.1145/859618.859657,Alpha-like microprocessor floorplan,NR,functional blocks,NR,NR,NR,effective compact,Wattch block powers,NR,NR,NR,benchmark-dependent,NR,HotSpot package model,NR,NR,NR,NR,reported absolute processor temperatures,NR,"Simulation methodology",geometry k q volume h ambient exact ranges,"Power traces are totals per block not volumetric q"
L09,FVM-compact,3D-ICE: Fast Compact Transient Thermal Modeling for 3D ICs with Inter-tier Liquid Cooling,2010,10.1109/ICCAD.2010.5653749,https://doi.org/10.1109/ICCAD.2010.5653749,stacked dies with inter-tier microchannels,NR,finite-volume cells,NR,layer and coolant properties,NR,bulk/effective,power maps,NR,NR,NR,NR,NR,liquid inlet/outlet and solid boundaries,flow-defined,NR,inlet temperature,NR,transient temperature,NR,"Model and validation sections",single geometry and transferable q/h ranges,"Fluid boundary is not represented by a scalar h"
L10,FVM-compact,3D-ICE: A Compact Thermal Model for Early-Stage Design of Liquid-Cooled ICs,2014,10.1109/TC.2013.127,https://infoscience.epfl.ch/record/186785/files/TC2014-3D-ICE-06532287.pdf,multi-port liquid-cooled 2D/3D IC,NR,2-resistor finite-volume compact cells,NR,solid/coolant properties,NR,bulk/effective,power maps,NR,NR,NR,NR,NR,multi-port liquid cooling,flow-defined,NR,coolant inlet temperature,NR,measured transient validation,NR,"Model tables and measurement section",single transferable geometry q h and temperature envelope,"Liquid cooling cannot be reduced to one h without an extra model"
